norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
900,CALSPHERE 1,PAYLOAD,Other,975.9288222955975,Low LEO,LEO-Polar,LOW,90.2236,0.0025332,2024,0,<1yr,13.76611816,2026-06-06 12:07:29.114112,celestrak,2026-06-06,US,2026-06-06
902,CALSPHERE 2,PAYLOAD,Other,1061.60907621751,Mid LEO,LEO-Polar,LOW,90.2377,0.0016562,2024,0,<1yr,13.52899675,2026-06-06 01:48:16.784064,celestrak,2026-06-06,US,2026-06-06
1361,LCS 1,PAYLOAD,Other,2787.867005807905,High LEO,MEO,LOW,32.1368,0.00123954,2024,1,<1yr,9.89310681,2026-06-05 11:00:01.893600,celestrak,2026-06-06,US,2026-06-06
1512,TEMPSAT 1,PAYLOAD,Other,1133.23932563347,Mid LEO,LEO-Polar,HIGH,89.9995,0.0067631,2024,0,<1yr,13.33593532,2026-06-06 11:36:44.059392,celestrak,2026-06-06,US,2026-06-06
1520,CALSPHERE 4A,PAYLOAD,Other,1123.182767099288,Mid LEO,LEO-Polar,HIGH,89.8976,0.0071296,2024,0,<1yr,13.36276231,2026-06-06 09:00:02.100384,celestrak,2026-06-06,US,2026-06-06
2826,OPS 5712 (P/L 160),PAYLOAD,Other,636.9993178980594,Low LEO,LEO-Inclined,MEDIUM,69.917,9.862e-05,2024,0,<1yr,14.77571787,2026-06-06 03:35:43.682496,celestrak,2026-06-06,US,2026-06-06
2866,LES-5,PAYLOAD,Other,33401.13184743431,MEO,MEO,LOW,2.5988,0.00524762,2024,0,<1yr,1.09425255,2026-06-06 03:12:56.308320,celestrak,2026-06-06,US,2026-06-06
2872,SURCAL 159,PAYLOAD,Other,895.1803025489216,Low LEO,LEO-Inclined,MEDIUM,69.9751,0.00052355,2024,1,<1yr,13.99600086,2026-06-05 08:47:06.484128,celestrak,2026-06-06,US,2026-06-06
2874,OPS 5712 (P/L 153),PAYLOAD,Other,904.8044684744664,Low LEO,LEO-Inclined,LOW,69.9719,0.00090956,2024,0,<1yr,13.96826715,2026-06-06 04:00:38.470752,celestrak,2026-06-06,US,2026-06-06
5204,OPS 3811 (DSP 2),PAYLOAD,Other,36389.38391437479,Beyond GEO,HEO,LOW,0.3105,0.0021787,2024,0,<1yr,0.98159344,2026-05-18 12:13:03.794016,celestrak,2026-05-18,US,2026-05-18
5398,RIGIDSPHERE 2 (LCS 4),PAYLOAD,Other,765.5942805555214,Low LEO,LEO-Polar,MEDIUM,87.6212,0.00575426,2024,0,<1yr,14.37855018,2026-06-06 03:02:20.332608,celestrak,2026-06-06,US,2026-06-06
7530,OSCAR 7 (AO-7),PAYLOAD,Other,1449.0656828530573,Mid LEO,LEO-Polar,LOW,101.9901,0.0012456,2024,0,<1yr,12.53697882,2026-06-05 23:35:48.179328,celestrak,2026-06-06,US,2026-06-06
7646,STARLETTE,PAYLOAD,Other,955.5620395391852,Low LEO,LEO-Inclined,LOW,49.8213,0.02055718,2024,0,<1yr,13.82350382,2026-06-06 04:12:07.095168,celestrak,2026-06-06,FR,2026-06-06
8820,LAGEOS 1,PAYLOAD,Other,5893.049206115976,High LEO,MEO,LOW,109.8026,0.00446755,2024,5,<1yr,6.38664744,2026-06-01 14:51:15.413760,celestrak,2026-06-06,US,2026-06-06
